item_payload
{"code":"CAT-TEST-1762982474349-1","name":"Category Test 1","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474420-2","name":"Category Test 2","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474430-3","name":"Category Test 3","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474446-4","name":"Category Test 4","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474462-5","name":"Category Test 5","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474478-6","name":"Category Test 6","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474492-7","name":"Category Test 7","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474508-8","name":"Category Test 8","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474524-9","name":"Category Test 9","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474541-10","name":"Category Test 10","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474555-11","name":"Category Test 11","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474571-12","name":"Category Test 12","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474587-13","name":"Category Test 13","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474604-14","name":"Category Test 14","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474618-15","name":"Category Test 15","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474633-16","name":"Category Test 16","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474649-17","name":"Category Test 17","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474664-18","name":"Category Test 18","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474681-19","name":"Category Test 19","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474695-20","name":"Category Test 20","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474712-21","name":"Category Test 21","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474728-22","name":"Category Test 22","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474744-23","name":"Category Test 23","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474758-24","name":"Category Test 24","description":"Auto-generated test category"}
{"code":"CAT-TEST-1762982474775-25","name":"Category Test 25","description":"Auto-generated test category"}
